,Unnamed: 0,ESTC,NDEP,RENDA,TIPOR,VBEM,NPARC,VPARC,TEL,IDADE,RESMS,ENTRADA,target,NOVA_COLUNA,Strings
849,849,1,0,1307,0,757,3,283,1,19,0,0,,410.4706243128823,Mariana
1484,1484,1,0,400,0,433,6,97,1,19,0,0,,-24.628237458772936,Mariana
184,184,1,0,300,0,459,12,55,1,19,5,55,,-118.66332593772415,Mariana
1329,1329,1,0,1174,0,916,12,124,0,19,12,0,,192.54803831404297,Mariana
369,369,1,0,2220,0,747,10,103,0,19,6,0,,1099.3149629325012,Mariana
1201,1201,1,0,1345,1,618,10,89,0,19,6,0,,542.567534319028,Mariana
99,99,1,0,420,0,828,12,70,0,19,48,0,,-304.4945722175563,Mariana
38,38,1,0,400,0,399,6,89,0,19,24,0,,0.7463102260234223,Mariana
811,811,0,0,350,0,595,12,81,0,19,0,0,,-182.84600537573849,Mariana
830,830,1,0,400,0,558,12,77,0,19,24,0,,-117.91701571170073,Mariana
1171,1171,1,0,2220,0,747,10,103,0,19,6,0,,1099.3149629325012,Mariana
407,407,1,0,757,0,725,12,99,0,20,48,0,,23.881927232749515,Mariana
538,538,1,0,365,0,338,9,55,0,20,36,0,,20.150376102632404,Mariana
1269,1269,1,0,300,0,419,12,57,1,20,36,0,,-88.81091689678726,Mariana
1128,1128,0,0,380,1,365,10,56,0,20,6,0,,11.194653390351336,Mariana
709,709,1,0,550,0,429,10,65,0,20,72,0,,90.3035373488341,Mariana
79,79,1,0,500,0,401,4,118,0,20,12,0,,73.88471237631882,Mariana
268,268,1,0,320,1,1149,9,66,0,20,6,749,,-618.6911773734171,Mariana
700,700,1,0,310,0,612,12,63,1,20,39,150,,-225.38568825907356,Mariana
334,334,1,0,521,0,451,9,68,0,20,48,0,,52.241715821639566,Mariana
211,211,1,0,546,0,389,6,82,0,20,48,0,,117.1707054856773,Mariana
272,272,1,0,380,1,635,15,75,0,20,6,0,,-190.3091076359727,Mariana
667,667,0,0,330,0,470,9,77,0,20,6,0,,-104.48343164327913,Mariana
1108,1108,1,0,852,0,1067,10,169,1,20,0,0,,-160.45669859503582,Mariana
659,659,1,0,320,0,497,12,68,0,21,0,0,,-132.09691000614575,Mariana
1315,1315,1,0,600,0,618,10,89,0,21,6,0,,-13.433584068421602,Mariana
1421,1421,1,0,300,0,398,10,61,1,21,72,0,,-73.13840215029539,Mariana
520,520,0,0,410,0,442,6,81,0,21,0,81,,-23.881927232749515,Mariana
116,116,1,0,700,0,378,2,202,0,21,48,0,,240.311892779542,Mariana
571,571,1,0,600,0,479,6,108,0,21,0,0,,90.3035373488341,Mariana
626,626,1,0,465,0,413,15,52,0,21,0,0,,38.808131753217964,Mariana
333,333,1,0,540,0,498,6,102,0,21,48,0,,31.345029492983738,Mariana
672,672,0,0,600,0,827,12,112,0,21,0,0,,-169.41242130731686,Mariana
398,398,1,0,600,0,764,10,77,0,21,48,0,,-122.39487706784126,Mariana
42,42,1,0,650,1,480,10,67,0,21,6,0,,126.8727384239818,Mariana
1022,1022,0,0,380,1,480,6,102,0,21,6,0,,-74.63102260234223,Mariana
895,895,1,0,500,0,399,5,97,1,21,0,0,,75.37733282836565,Mariana
880,880,1,0,350,0,595,11,83,0,21,48,0,,-182.84600537573849,Mariana
846,846,1,0,1500,0,591,2,320,0,21,48,0,,678.3959954552909,Mariana
48,48,1,0,312,0,499,12,69,0,21,18,0,,-139.56001226637997,Mariana
720,720,1,0,300,0,398,12,54,0,21,0,0,,-73.13840215029539,Mariana
1406,1406,1,0,485,0,441,5,92,1,21,6,70,,32.837649945030584,Mariana
1100,1100,1,0,300,0,380,6,85,1,21,0,0,,-59.70481808187379,Mariana
802,802,1,0,650,0,333,6,74,0,21,0,0,,236.5803416494249,Mariana
159,159,1,0,620,1,427,10,65,0,22,6,0,,144.03787362252052,Mariana
1057,1057,0,0,331,0,549,12,75,0,22,12,0,,-162.69562927310608,Mariana
1419,1419,0,2,600,1,420,10,58,0,22,6,0,,134.335840684216,Mariana
1286,1286,0,0,750,0,704,7,137,0,22,0,0,,34.33027039707743,Mariana
1042,1042,0,0,435,1,531,10,63,0,22,6,115,,-71.64578169824854,Mariana
1481,1481,1,0,340,0,340,10,52,0,22,12,0,,0.0,Mariana
1256,1256,1,0,335,0,498,12,68,0,22,26,0,,-121.64856684181784,Mariana
1353,1353,1,0,568,1,849,10,117,0,22,6,0,,-209.71317351258168,Mariana
1250,1250,1,0,920,0,306,6,68,0,22,0,0,,458.23447877838134,Mariana
1012,1012,1,0,498,1,344,10,53,0,22,6,0,,114.93177480760704,Mariana
1006,1006,0,0,300,0,597,10,82,0,22,6,0,,-221.65413712895642,Mariana
1151,1151,1,0,420,1,470,12,64,0,22,6,0,,-37.315511301171114,Mariana
409,409,0,0,1555,0,825,12,69,0,22,0,0,,544.8064649970983,Mariana
993,993,0,0,650,1,639,10,88,0,22,6,0,,8.209412486257646,Mariana
980,980,1,0,466,0,672,6,116,0,22,0,150,,-153.739906560825,Mariana
652,652,1,0,628,0,459,12,63,1,22,12,0,,126.12642819795838,Mariana
228,228,1,0,390,0,468,12,64,1,22,0,0,,-58.212197629826946,Mariana
967,967,1,0,400,0,421,12,57,0,22,36,0,,-15.672514746491869,Mariana
938,938,1,0,1120,0,897,12,122,0,22,20,0,,166.4271804032232,Mariana
916,916,0,0,594,0,677,12,92,0,22,0,0,,-61.94374875994406,Mariana
359,359,0,0,378,0,351,6,73,0,22,48,0,,20.150376102632404,Mariana
928,928,1,0,607,0,483,12,66,0,22,6,0,,92.54246802690437,Mariana
144,144,0,0,735,1,415,5,62,0,22,6,159,,238.81927232749516,Mariana
164,164,1,0,448,0,445,10,53,0,22,0,100,,2.238930678070267,Mariana
434,434,1,0,2000,0,384,1,401,0,22,48,0,,1206.0373252538504,Mariana
529,529,0,0,4000,0,358,5,88,0,22,0,0,,2718.061843177304,Mariana
531,531,1,0,320,0,421,12,57,0,22,0,0,,-75.37733282836565,Mariana
81,81,1,0,824,1,515,10,78,0,22,6,0,,230.6098598412375,Mariana
54,54,0,0,315,0,398,9,60,0,23,6,35,,-61.94374875994406,Mariana
1478,1478,1,0,1761,0,449,2,243,0,23,48,0,,979.1590165427301,Mariana
240,240,1,0,500,0,459,8,81,0,23,0,0,,30.598719266960316,Mariana
210,210,0,0,600,0,460,6,103,0,23,12,0,,104.48343164327913,Mariana
142,142,1,0,600,0,399,6,88,0,23,48,0,,150.0083554307079,Mariana
807,807,1,0,453,1,439,10,64,0,23,6,0,,10.448343164327913,Mariana
